Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,Sector,MarketCap
AAPL,Apple Inc. - Common Stock,Q,N,N,100,N,N,Technology,3744081903616.0
ABNB,"Airbnb, Inc. - Class A Common Stock",Q,N,N,100,N,N,Consumer Cyclical,77086588928.0
ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,100,N,N,Financial Services,32287287296.0
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,N,N,100,N,N,Financial Services,12583061504.0
ADBE,Adobe Inc. - Common Stock,Q,N,N,100,N,N,Technology,139502632960.0
ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,100,N,N,Technology,119481212928.0
ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,100,N,N,Technology,113939521536.0
ADSK,"Autodesk, Inc. - Common Stock",Q,N,N,100,N,N,Technology,64679579648.0
AEP,"American Electric Power Company, Inc. - Common Stock",Q,N,N,100,N,N,Utilities,62854426624.0
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Q,N,N,100,N,N,Technology,22111655936.0
AGNC,AGNC Investment Corp. - Common Stock,Q,N,N,100,N,N,Real Estate,10522691584.0
AKAM,"Akamai Technologies, Inc. - Common Stock",Q,N,N,100,N,N,Technology,10447070208.0
ALAB,"Astera Labs, Inc. - Common Stock",Q,N,N,100,N,N,Technology,26561818624.0
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,Healthcare,63136829440.0
AMAT,"Applied Materials, Inc. - Common Stock",Q,N,N,100,N,N,Technology,179236585472.0
AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,N,N,100,N,N,Technology,378252394496.0
AMGN,Amgen Inc. - Common Stock,Q,N,N,100,N,N,Healthcare,160867909632.0
AMZN,"Amazon.com, Inc. - Common Stock",Q,N,N,100,N,N,Consumer Cyclical,2272052641792.0
APP,Applovin Corporation - Class A Common Stock,Q,N,N,100,N,N,Communication Services,202716561408.0
ARCC,Ares Capital Corporation - Closed End Fund,Q,N,N,100,N,N,Financial Services,13761718272.0
ARGX,argenx SE - American Depositary Shares,Q,N,N,100,N,N,Healthcare,51943239680.0
ARM,Arm Holdings plc - American Depositary Shares,Q,N,N,100,N,N,Technology,175424716800.0
ASML,ASML Holding N.V. - New York Registry Shares,Q,N,N,100,N,N,Technology,399508766720.0
ASND,Ascendis Pharma A/S - American Depositary Shares,Q,N,N,100,N,N,Healthcare,12746702848.0
ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",Q,N,N,100,N,N,Technology,30179108864.0
AVAV,"AeroVironment, Inc. - Common Stock",Q,N,N,100,N,N,Industrials,17505732608.0
AVGO,Broadcom Inc. - Common Stock,Q,N,N,100,N,N,Technology,1649663672320.0
AXON,"Axon Enterprise, Inc. - Common Stock",Q,N,N,100,N,N,Industrials,52651356160.0
AZN,AstraZeneca PLC - American Depositary Shares,Q,N,N,100,N,N,Healthcare,262582976512.0
BBIO,"BridgeBio Pharma, Inc. - Common Stock",Q,N,N,100,N,N,Healthcare,10498974720.0
BIIB,Biogen Inc. - Common Stock,Q,N,N,100,N,N,Healthcare,20965885952.0
BILI,Bilibili Inc. - American Depositary Shares,Q,N,N,100,N,N,Communication Services,10891174912.0
BKNG,Booking Holdings Inc. - Common Stock,Q,N,N,100,N,N,Consumer Cyclical,164318756864.0
BMRN,BioMarin Pharmaceutical Inc. - Common Stock,Q,N,N,100,N,N,Healthcare,10232458240.0
BNTX,BioNTech SE - American Depositary Shares,Q,N,N,100,N,N,Healthcare,25275521024.0
BSY,"Bentley Systems, Incorporated - Class B Common Stock",Q,N,N,100,N,N,Technology,15576266752.0
CART,Maplebear Inc. - Common Stock,Q,N,N,100,N,N,Consumer Cyclical,10139739136.0
CASY,"Caseys General Stores, Inc. - Common Stock",Q,N,N,100,N,N,Consumer Cyclical,21083635712.0
CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares,Q,N,N,100,N,N,Consumer Defensive,40951095296.0
CDNS,"Cadence Design Systems, Inc. - Common Stock",Q,N,N,100,N,N,Technology,88864432128.0
CEG,Constellation Energy Corporation - Common Stock,Q,N,N,100,N,N,Utilities,120744755200.0
CELH,"Celsius Holdings, Inc. - Common Stock",S,N,N,100,N,N,Consumer Defensive,16719828992.0
CG,The Carlyle Group Inc. - Common Stock,Q,N,N,100,N,N,Financial Services,20667817984.0
CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,Q,N,N,100,N,N,Technology,20466710528.0
CINF,Cincinnati Financial Corporation - Common Stock,Q,N,N,100,N,N,Financial Services,23928719360.0
CMCSA,Comcast Corporation - Class A Common Stock,Q,N,N,100,N,N,Communication Services,109067788288.0
CME,CME Group Inc. - Class A Common Stock,Q,N,N,100,N,N,Financial Services,96558465024.0
COIN,"Coinbase Global, Inc. - Class A Common Stock",Q,N,N,100,N,N,Financial Services,86336356352.0
COKE,"Coca-Cola Consolidated, Inc. - Common Stock",Q,N,N,100,N,N,Consumer Defensive,11441135616.0
COO,"The Cooper Companies, Inc.  - Common Stock",Q,N,N,100,N,N,Healthcare,14308279296.0
COST,Costco Wholesale Corporation - Common Stock,Q,N,N,100,N,N,Consumer Defensive,414961958912.0
CPRT,"Copart, Inc. - Common Stock",Q,N,N,100,N,N,Industrials,42909216768.0
CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,Q,N,N,100,N,N,Technology,24843898880.0
CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",Q,N,N,100,N,N,Technology,121625403392.0
CRWV,"CoreWeave, Inc. - Class A Common Stock",Q,N,N,100,N,N,Technology,67764678656.0
CSCO,"Cisco Systems, Inc. - Common Stock",Q,N,N,100,N,N,Technology,277237694464.0
CSGP,"CoStar Group, Inc. - Common Stock",Q,N,N,100,N,N,Real Estate,31345889280.0
CSX,CSX Corporation - Common Stock,Q,N,N,100,N,N,Industrials,68154208256.0
CTAS,Cintas Corporation - Common Stock,Q,N,N,100,N,N,Industrials,75591122944.0
